[ 00:32:09.749 -->  00:32:09.917] LV SPEAKER_12
[ 00:32:47.245 -->  00:33:01.302] BW SPEAKER_04
[ 00:33:03.360 -->  00:33:30.006] HS SPEAKER_06
[ 00:33:22.919 -->  00:33:23.897] LW SPEAKER_12
[ 00:33:32.014 -->  00:34:19.973] HT SPEAKER_06
[ 00:34:18.370 -->  00:34:18.741] JM SPEAKER_08
[ 00:34:18.404 -->  00:34:24.445] KJ SPEAKER_09
[ 00:34:19.973 -->  00:34:20.074] JN SPEAKER_08
[ 00:34:24.445 -->  00:34:24.495] JO SPEAKER_08
[ 00:34:26.132 -->  00:34:40.932] HU SPEAKER_06
[ 00:34:42.045 -->  00:35:43.504] AA SPEAKER_02
[ 00:35:44.770 -->  00:37:21.599] EW SPEAKER_05
[ 00:36:10.808 -->  00:36:11.010] LB SPEAKER_11
[ 00:36:23.346 -->  00:36:24.004] C SPEAKER_00
[ 00:36:24.004 -->  00:36:24.392] LX SPEAKER_12
[ 00:36:27.261 -->  00:36:27.278] BX SPEAKER_04
[ 00:36:27.278 -->  00:36:27.497] LY SPEAKER_12
[ 00:36:27.497 -->  00:36:29.286] AB SPEAKER_02
[ 00:36:28.493 -->  00:36:28.949] LZ SPEAKER_12
[ 00:36:54.599 -->  00:36:54.970] JP SPEAKER_08
[ 00:37:08.757 -->  00:37:10.292] MA SPEAKER_12
[ 00:37:19.844 -->  00:37:20.704] MB SPEAKER_12
[ 00:37:22.274 -->  00:37:24.822] EX SPEAKER_05
[ 00:37:24.822 -->  00:37:28.315] HV SPEAKER_06
[ 00:37:28.703 -->  00:38:18.906] EY SPEAKER_05
[ 00:38:20.475 -->  00:38:25.622] EZ SPEAKER_05
[ 00:38:23.918 -->  00:38:31.174] HW SPEAKER_06
[ 00:38:30.820 -->  00:38:32.693] FA SPEAKER_05
[ 00:38:32.001 -->  00:38:43.763] HX SPEAKER_06
[ 00:38:44.522 -->  00:38:45.990] HY SPEAKER_06
[ 00:38:49.821 -->  00:38:53.331] AC SPEAKER_02
[ 00:38:53.331 -->  00:38:56.723] HZ SPEAKER_06
[ 00:38:58.191 -->  00:39:07.658] KK SPEAKER_09
[ 00:39:08.384 -->  00:39:15.792] KL SPEAKER_09
[ 00:39:16.568 -->  00:39:21.985] KM SPEAKER_09
[ 00:39:21.985 -->  00:39:27.756] AD SPEAKER_02
[ 00:39:29.258 -->  00:39:32.785] AE SPEAKER_02
[ 00:39:33.949 -->  00:39:54.722] AF SPEAKER_02
[ 00:39:54.790 -->  00:40:22.431] BY SPEAKER_04
[ 00:39:59.920 -->  00:40:00.173] MC SPEAKER_12
[ 00:40:02.569 -->  00:40:04.139] AG SPEAKER_02
[ 00:40:06.889 -->  00:40:07.699] AH SPEAKER_02
[ 00:40:11.817 -->  00:40:12.357] AI SPEAKER_02
[ 00:40:22.499 -->  00:41:12.702] FB SPEAKER_05
[ 00:41:16.127 -->  00:43:09.713] FC SPEAKER_05
[ 00:42:15.021 -->  00:42:15.612] MD SPEAKER_12
[ 00:43:10.725 -->  00:44:01.975] AJ SPEAKER_02
[ 00:44:02.245 -->  00:44:14.007] BZ SPEAKER_04
[ 00:44:15.374 -->  00:45:05.324] CA SPEAKER_04
[ 00:45:05.931 -->  00:45:39.597] CB SPEAKER_04
[ 00:45:39.799 -->  00:46:06.462] FD SPEAKER_05
[ 00:46:06.276 -->  00:47:10.688] AK SPEAKER_02
[ 00:47:12.375 -->  00:47:17.995] FE SPEAKER_05
[ 00:47:20.357 -->  00:47:27.445] CC SPEAKER_04
[ 00:47:20.391 -->  00:47:20.492] FF SPEAKER_05
[ 00:47:24.998 -->  00:47:25.943] FG SPEAKER_05
[ 00:47:27.445 -->  00:47:27.495] FH SPEAKER_05
[ 00:47:27.495 -->  00:47:30.010] IA SPEAKER_06
[ 00:47:31.410 -->  00:48:32.937] FI SPEAKER_05
[ 00:48:32.937 -->  00:48:42.724] CD SPEAKER_04
[ 00:48:43.517 -->  00:48:47.179] CE SPEAKER_04
[ 00:48:47.820 -->  00:49:19.934] CF SPEAKER_04
[ 00:49:20.102 -->  00:49:28.995] IB SPEAKER_06
[ 00:49:28.455 -->  00:49:30.615] ME SPEAKER_12
[ 00:49:28.995 -->  00:50:33.694] FJ SPEAKER_05
[ 00:50:09.732 -->  00:50:10.964] MF SPEAKER_12
[ 00:50:34.774 -->  00:50:40.056] FK SPEAKER_05
[ 00:50:40.849 -->  00:50:42.722] IC SPEAKER_06
[ 00:50:42.604 -->  00:50:43.887] MG SPEAKER_12
[ 00:50:45.068 -->  00:50:59.192] ID SPEAKER_06
[ 00:51:00.407 -->  00:51:00.947] IE SPEAKER_06
[ 00:51:02.567 -->  00:51:06.330] AL SPEAKER_02
[ 00:51:07.073 -->  00:51:23.324] AM SPEAKER_02
[ 00:51:24.809 -->  00:51:53.732] AN SPEAKER_02
[ 00:51:57.428 -->  00:52:15.822] FL SPEAKER_05
[ 00:52:17.459 -->  00:53:15.492] FM SPEAKER_05
[ 00:53:16.403 -->  00:53:17.550] JQ SPEAKER_08
[ 00:53:18.664 -->  00:53:22.562] KN SPEAKER_09
[ 00:53:22.562 -->  00:53:25.634] AO SPEAKER_02
[ 00:53:29.700 -->  00:54:06.522] AP SPEAKER_02
[ 00:53:31.540 -->  00:53:31.810] MH SPEAKER_12
[ 00:54:07.382 -->  00:54:24.949] CG SPEAKER_04
[ 00:54:25.844 -->  00:54:49.755] CH SPEAKER_04
[ 00:54:50.397 -->  00:55:58.926] CI SPEAKER_04
[ 00:55:57.559 -->  00:56:15.160] FN SPEAKER_05
[ 00:55:59.787 -->  00:55:59.820] CJ SPEAKER_04
[ 00:56:16.037 -->  00:56:51.593] FO SPEAKER_05
[ 00:56:51.593 -->  00:56:55.390] IF SPEAKER_06
[ 00:56:55.390 -->  00:56:58.090] FP SPEAKER_05
[ 00:56:56.115 -->  00:57:01.937] IG SPEAKER_06
[ 00:57:02.410 -->  00:57:17.429] FQ SPEAKER_05
[ 00:57:16.821 -->  00:57:22.694] IH SPEAKER_06
[ 00:57:22.997 -->  00:57:29.916] FR SPEAKER_05
[ 00:57:29.629 -->  00:57:31.772] II SPEAKER_06
[ 00:57:32.481 -->  00:57:34.337] FS SPEAKER_05
[ 00:57:34.050 -->  00:57:35.721] IJ SPEAKER_06
[ 00:57:35.721 -->  00:57:43.838] FT SPEAKER_05
[ 00:57:43.315 -->  00:57:45.998] IK SPEAKER_06
[ 00:57:45.998 -->  00:57:57.878] FU SPEAKER_05
[ 00:57:49.272 -->  00:57:49.440] IL SPEAKER_06
[ 00:57:49.440 -->  00:57:49.845] MI SPEAKER_12
[ 00:57:49.879 -->  00:57:49.913] D SPEAKER_00
[ 00:57:56.545 -->  00:58:13.977] AQ SPEAKER_02
[ 00:58:14.820 -->  00:58:39.947] FV SPEAKER_05
[ 00:58:37.602 -->  00:58:40.656] CK SPEAKER_04
[ 00:58:40.656 -->  01:00:04.457] FW SPEAKER_05
[ 00:58:43.491 -->  00:58:43.947] CL SPEAKER_04
